Titel	UBVU-ID	zoomnr	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path	page type
XP.05095_NT_053	2,18E+11	VUA005000002_0066_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/31	31	32.jpg	/bis/image/32.jpg	1
XP.05095_NT_054	2,18E+11	VUA005000002_0068_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/32	32	33.jpg	/bis/image/33.jpg	1
XP.05095_NT_056	2,18E+11	VUA005000002_0070_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/33	33	34.jpg	/bis/image/34.jpg	1
XP.05095_NT_057	2,18E+11	VUA005000002_0072_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/34	34	35.jpg	/bis/image/35.jpg	1
XP.05095_NT_058	2,18E+11	VUA005000002_0074_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/35	35	36.jpg	/bis/image/36.jpg	1
XP.05095_NT_061	2,18E+11	VUA005000002_0076_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/36	36	37.jpg	/bis/image/37.jpg	1
XP.05095_NT_062	2,18E+11	VUA005000002_0082_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/37	37	38.jpg	/bis/image/38.jpg	1
XP.05095_NT_066	2,18E+11	VUA005000002_0084_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/38	38	39.jpg	/bis/image/39.jpg	1
XP.05095_NT_067	2,18E+11	VUA005000002_0086_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/39	39	40.jpg	/bis/image/40.jpg	1
XP.05095_achterplat	2,18E+11	VUA005000002_0087	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/40	40	41.jpg	/bis/image/41.jpg	1
XP.05092_voorplat	2,18E+11	VUA005000001_0001	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/42	42	43.jpg	/bis/image/43.jpg	f
XP.05092_dekblad	2,18E+11	VUA005000001_0002_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/43	43	44.jpg	/bis/image/44.jpg	f
XP.05092_schutblad_1r	2,18E+11	VUA005000001_0003_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/44	44	45.jpg	/bis/image/45.jpg	f
XP.05092_schutblad_1v	2,18E+11	VUA005000001_0004_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/45	45	46.jpg	/bis/image/46.jpg	f
XP.05092_schutblad_2r	2,18E+11	VUA005000001_0005_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/46	46	47.jpg	/bis/image/47.jpg	f
XP.05092_schutblad_2v	2,18E+11	VUA005000001_0006_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/47	47	48.jpg	/bis/image/48.jpg	f
XP.05092_schutblad_3r	2,18E+11	VUA005000001_0007_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/48	48	49.jpg	/bis/image/49.jpg	f
XP.05092_schutblad_3v	2,18E+11	VUA005000001_0008_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/49	49	50.jpg	/bis/image/50.jpg	f
XP.05092_titelblad_r (OT)	2,18E+11	VUA005000001_0009_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/50	50	51.jpg	/bis/image/51.jpg	c
XP.05092_titelblad_v (OT)	2,18E+11	VUA005000001_0010_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/51	51	52.jpg	/bis/image/52.jpg	f
XP.05092_front-ispice_1r (OT)	2,18E+11	VUA005000001_0011_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/52	52	53.jpg	/bis/image/53.jpg	a
XP.05092_front-ispice_1v (OT)	2,18E+11	VUA005000001_0012_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/53	53	54.jpg	/bis/image/54.jpg	f
